time,temperature_2m,relative_humidity_2m,precipitation,uv_index
2026-06-27T00:00,16.6,88,0.0,0.0
2026-06-27T01:00,15.9,90,0.0,0.0
2026-06-27T02:00,16.1,89,0.0,0.0
2026-06-27T03:00,16.2,86,0.0,0.0
2026-06-27T04:00,16.3,86,0.0,0.0
2026-06-27T05:00,16.0,91,0.0,0.0
2026-06-27T06:00,15.8,92,0.0,0.0
2026-06-27T07:00,15.8,89,0.0,0.15
2026-06-27T08:00,16.1,83,0.0,0.75
2026-06-27T09:00,16.1,79,0.0,1.85
2026-06-27T10:00,17.3,77,0.0,4.3
2026-06-27T11:00,18.3,69,0.0,6.2
2026-06-27T12:00,19.9,62,0.0,7.45
2026-06-27T13:00,20.6,57,0.0,8.2
2026-06-27T14:00,21.7,56,0.0,8.35
2026-06-27T15:00,22.0,53,0.0,7.8
2026-06-27T16:00,21.7,54,0.0,6.75
2026-06-27T17:00,21.0,58,0.0,5.2
2026-06-27T18:00,19.9,54,0.0,3.5
2026-06-27T19:00,19.0,57,0.0,1.85
2026-06-27T20:00,17.8,55,0.0,0.6
2026-06-27T21:00,16.1,65,0.0,0.05
2026-06-27T22:00,15.1,73,0.0,0.0
2026-06-27T23:00,14.5,72,0.0,0.0
2026-06-28T00:00,14.0,72,0.0,0.0
2026-06-28T01:00,13.3,75,0.0,0.0
2026-06-28T02:00,12.9,73,0.0,0.0
2026-06-28T03:00,12.0,79,0.0,0.0
2026-06-28T04:00,11.4,84,0.0,0.0
2026-06-28T05:00,10.9,88,0.0,0.0
2026-06-28T06:00,10.5,89,0.0,0.0
2026-06-28T07:00,12.3,90,0.0,0.3
2026-06-28T08:00,14.4,84,0.0,1.3
2026-06-28T09:00,16.6,68,0.0,2.8
2026-06-28T10:00,19.0,57,0.0,4.55
2026-06-28T11:00,21.3,46,0.0,6.15
2026-06-28T12:00,23.4,42,0.0,7.45
2026-06-28T13:00,25.1,38,0.0,8.15
2026-06-28T14:00,26.3,36,0.0,8.25
2026-06-28T15:00,26.2,33,0.0,7.75
2026-06-28T16:00,26.3,31,0.0,6.65
2026-06-28T17:00,25.7,31,0.0,5.15
2026-06-28T18:00,24.4,34,0.0,3.45
2026-06-28T19:00,22.6,37,0.0,1.8
2026-06-28T20:00,20.3,44,0.0,0.6
2026-06-28T21:00,18.0,52,0.0,0.05
2026-06-28T22:00,16.7,55,0.0,0.0
2026-06-28T23:00,15.6,59,0.0,0.0
2026-06-29T00:00,15.0,61,0.0,0.0
2026-06-29T01:00,14.2,62,0.0,0.0
2026-06-29T02:00,13.5,65,0.0,0.0
2026-06-29T03:00,12.9,66,0.0,0.0
2026-06-29T04:00,12.4,66,0.0,0.0
2026-06-29T05:00,11.8,68,0.0,0.0
2026-06-29T06:00,11.2,74,0.0,0.0
2026-06-29T07:00,12.8,78,0.0,0.3
2026-06-29T08:00,15.9,74,0.0,1.15
2026-06-29T09:00,18.5,63,0.0,2.5
2026-06-29T10:00,21.3,49,0.0,4.45
2026-06-29T11:00,23.9,38,0.0,6.0
